Faltantes
Señor escucha mi oracion                 149 
Zaqueo                   . 165 
Adónde te escondiste amado         . 233 
Este es el mandamiento mío          . 76 
Me robaste el corazón              249 
Resurrexit                   131 
Si habéis resucitado con Cristo          140 
Sube Dios entre aclamaciones          146 
Suba el Esposo al leño de su tálamo      . 255 
Paloma incorrupta              . 120 
Alegría, ha nacido el salvador           31 
Oh Dios, tú eres mi Dios             115 
En medio de aquel gentío             71 
